Product Device,Count,Percentage
rk3399_10P,7,0.00%
p3q,7,0.00%
GLBox_HD500,7,0.00%
Jadoo7,7,0.00%
309_2831P638_JPE_Ukraine_HD,7,0.00%
H9pro,7,0.00%
D09171320,7,0.00%
341_2831P838_JPE_Arabia_HD,7,0.00%
378_2831P838_1G_4G_JPE_Arabia_LC546PU1L01_DVBT2_HD_201905177TWBZ,7,0.00%
reborn,7,0.00%
zeasn_8g,7,0.00%
rockchip038,7,0.00%
rk3566_rgo,7,0.00%
374_2841P638_1G_4G_SKD08260719_DVBT2_Poland_MANTA,7,0.00%
237_2841P638_HuiDi_L18121647_Russia_SD,7,0.00%
249_2831P588_JPE_201910009TWBZ,7,0.00%
274_2841P638_HuiDi_L19050890_Russia_HD,7,0.00%
285_2841P638_HuiDi_L19071243_Russia_HD,7,0.00%
270_2841P838_ZHCF_Moldova_HD,7,0.00%
294_2841P638_HuiDi_CC430LV1D,7,0.00%
283_2841P638_1G_4G_SQY_SKD12240418_HV320WHB-N55_Poland_MANTA,7,0.00%
311_2841P638_JPE_Moldova_HD,7,0.00%
214_2831P638_1G_8G_SQY_D04020319_V450HJ1-Q01_CostaRica_RCA,7,0.00%
M96-TVstick,7,0.00%
12250,7,0.00%
D02050621,7,0.00%
256_2841P638_HuiDi_L19030359_HD,7,0.00%
D95GA,7,0.00%
V820DK1-Q01-C1,7,0.00%
D02030921,7,0.00%
218_2861P838_JPE_Panama_T2_NTSC,7,0.00%
STV5578,7,0.00%
314_2831P638_JPE_Bahrain_HD,7,0.00%
281_2841P638_JPE_T2_HD,7,0.00%
283_2841P638_JPE_T2_HD,7,0.00%
SD500,7,0.00%
redroid_arm64,7,0.00%
19_2831P588_1G_4G_ST3151A05-9_SD_ATSC_Mexico_VIOS,7,0.00%
AndroidTV_14,7,0.00%
D10210420,7,0.00%
301_2841P638_L19091830_Russia_HD,7,0.00%
flanklin,7,0.00%
281_2841P638_HuiDi_L19061094_Russia_SD,7,0.00%
rockchip003,7,0.00%
r31a1,6,0.00%
293_2831P638_JPE__Arabia_,6,0.00%
a15x,6,0.00%
kvim3,6,0.00%
D05260121,6,0.00%
GIGABITE,6,0.00%
FREMIX,6,0.00%
D05200122,6,0.00%
AldenSmartTV,6,0.00%
ah218,6,0.00%
241_2831P588_HuiDi_L18121716_SD,6,0.00%
31_2831P638_JPE_Mexico_LC390TA2A_HD,6,0.00%
268_2841P638_JPE_T2_HD,6,0.00%
D08120822,6,0.00%
DSCS9X,6,0.00%
RT2831P531_ASANO_W19092_22DN5,6,0.00%
D01190421,6,0.00%
SG700,6,0.00%
273_2831P738_HuiDi_L19030423_SD,6,0.00%
CC500PV6D,6,0.00%
D06240420,6,0.00%
G7max,6,0.00%
Hi3751V551,6,0.00%
master_8g,6,0.00%
274_2871P838_SKD06110819_SQY_Ukraine_VESTA,6,0.00%
HX20210226,6,0.00%
H96_MAX_X4,6,0.00%
SKD02051221,6,0.00%
mantis,6,0.00%
D02070221,6,0.00%
D09301120,6,0.00%
D09170220,6,0.00%
333_2831P638_1G_4G_JPE_PT430CT01-1_Jordan_ATV_HD,6,0.00%
D01050221,6,0.00%
D02050421,6,0.00%
235_2841P638_HuiDi_L18121691_T2_HD,6,0.00%
222_2861P838_JPE_Panama_T2_NTSC,6,0.00%
SKD07270220,6,0.00%
MT9216_PB767_MT9256_V400HJ9_PE1_C4,6,0.00%
347_2831P638_1G_4G_JPE_LSC400HN03-W_Arabia_ATV_HD_201903362TWBZ,6,0.00%
337_2841P838_JPE_T2_HD,6,0.00%
MT9216_PB766_MT9256_CV320H2_F01,6,0.00%
D09300720,6,0.00%
SKD03040121,6,0.00%
Smart Monitor,6,0.00%
284_2841P638_1G_4G_SQY_SKD12240518_JE400D3HE2N_Poland_MANTA,6,0.00%
YH6,6,0.00%
k11,6,0.00%
COBY,6,0.00%
rockchip048,6,0.00%
SKD07270420,6,0.00%
G011A,6,0.00%
301_2831P588_1G_8G_SQY_D02280119_HV320WHB-N86_Colombia_EPI,6,0.00%
233_2841P638_HuiDi_L18121664_Russia_HD,6,0.00%
redroid_x86_64,6,0.00%
A133P,6,0.00%
I96-D10,6,0.00%
N5MAX,6,0.00%
15_2831P588_1G_4G_SQY_LQ315T3HC54_SD_ATSC_Mexico_VIOS,6,0.00%
Android 4K,6,0.00%
aurora-elite,6,0.00%
dym,5,0.00%
SKD08111520,5,0.00%
Hi3798CV200,5,0.00%
EGP531,5,0.00%
301_2831P638_Vietnam_HD,5,0.00%
10657,5,0.00%
AI2401,5,0.00%
D09281220,5,0.00%
327_2831P838_JPE_Arabia_HD,5,0.00%
